Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Goodell, Brian",SR-4,8:34.14 #,Wartburg Qualifier,"Mar 1, 2024"
,"Robinson, Luke",SO-2,8:36.20 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Ramsey, Bradley",SR-4,8:50.51 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Miller, John",SO-2,8:51.35 #,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Heagy, Connor",SO-2,9:06.90 #,Hilltop Invitational,"Jan 20, 2024"
,"Snyder, James",SO-2,9:23.62 #,Darren Young Classic,"Feb 10, 2024"
,"Manza, Sebastian",FR-1,9:28.66 #,Darren Young Classic,"Feb 10, 2024"
,"Krysan, Mark",JR-3,9:44.96 #,Hilltop Invitational,"Jan 20, 2024"
,"Hill, Ryan",FR-1,9:48.12 #,Grinnell Invitational,"Jan 27, 2024"
,"Beck, Sam",FR-1,9:51.12 #,Darren Young Classic,"Feb 10, 2024"
,"Ching, Tyler",SO-2,9:55.28 #,Darren Young Classic,"Feb 10, 2024"
,"Pollock, Alexander",FR-1,9:58.62 #,Liz Wuertz Indoor Meet,"Feb 17, 2024"
