Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Shultz, Tennyson",FR-1,5:34.35,Dutch Athletic Classic,"Jan 17, 2025"
,"Madigan, Genevieve",FR-1,5:34.44,Dutch Athletic Classic,"Jan 17, 2025"
,"Vu, Noelle",FR-1,5:38.50,Dutch Athletic Classic,"Jan 17, 2025"
,"Bonner, Sindri",FR-1,5:38.85,Dutch Athletic Classic,"Jan 17, 2025"
,"Ong, Caitlin",SO-2,5:44.82,Grinnell Opener Invite,"Dec 6, 2024"
,"Kaczmarczyk, Crystal",JR-3,5:48.22,Dutch Athletic Classic,"Jan 17, 2025"
,"Rabbani, Allison",SR-4,5:53.46,Dutch Athletic Classic,"Jan 17, 2025"
,"Wang, Cindy",FR-1,5:54.76,Dutch Athletic Classic,"Jan 17, 2025"
,"Spindler-Krage, Sophi",FR-1,6:25.85,Grinnell Opener Invite,"Dec 6, 2024"
,"Holt-Frank, Rosalind",FR-1,6:35.59,Dutch Athletic Classic,"Jan 17, 2025"
,"Emerson, Lila",FR-1,6:36.67,Dutch Athletic Classic,"Jan 17, 2025"
,"Weiss, Maggie",FR-1,6:53.73,Dutch Athletic Classic,"Jan 17, 2025"
