0,1,2,3
Grinnell College,309,21,1st
Vrishali Sinha,71,-1,1st
Vidushi Sinha,73,1,2nd
Danielle Oberlander,79,7,3rd
Julia Echikson,86,14,5th
Samanike Hengst,91,19,8th
