Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",FR-1,17:41.20,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Karow, Morgan",FR-1,18:43.73,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Roark, Hannah",FR-1,18:49.51,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Schaefer, Emma",SR-4,18:53.95,Mustang Open,"Apr 1, 2023"
,"Diamond-Berman, Mira",SO-2,18:56.38,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Barba, Diana",FR-1,19:35.47,Norse Invite,"Apr 15, 2023"
,"Ford, Sophia",SO-2,20:27.91,2023 Kip Janvrin Open,"Apr 27, 2023"
