Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Ragan, Eric",,55.76,Midwest Conference Championship,"May 13, 2011"
,"Ragan, Eric",,57.26,Monmouth Scots Invite,"May 7, 2011"
,"Ragan, Eric",,57.82,Dick Young Classic,"Apr 23, 2011"
,"Ragan, Eric",,58.19,Kip Janvrin Open,"Apr 28, 2011"
,"Ragan, Eric",,58.24,Midwest Conference Championship,"May 13, 2011"
,"Ragan, Eric",,58.52,Cornell Invitational,"Apr 9, 2011"
,"Levy, Sam",SR,59.83,Midwest Conference Championship,"May 13, 2011"
,"Ragan, Eric",,59.85,2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Levy, Sam",SR,1:00.19,Monmouth Scots Invite,"May 7, 2011"
,"Levy, Sam",SR,1:01.89,Cornell Invitational,"Apr 9, 2011"
,"Ragan, Eric",,1:02.49,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Dorman, Christopher",,1:04.43,Dick Young Classic,"Apr 23, 2011"
,"Dorman, Christopher",,1:04.62,Kip Janvrin Open,"Apr 28, 2011"
,"Dorman, Christopher",,1:05.60,Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Dorman, Christopher",,1:06.44,Cornell Invitational,"Apr 9, 2011"
