Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Roark, Hannah",FR-1,4:53.82,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Karow, Morgan",FR-1,4:54.98,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Kaczmarczyk, Crystal",SO-2,5:01.05,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Roark, Hannah",FR-1,5:04.24,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Miyamoto, Keely",FR-1,5:06.21,Dick Young Classic,"Apr 22, 2023"
,"Karow, Morgan",FR-1,5:07.59,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Schaefer, Emma",SR-4,5:09.44,Dick Young Classic,"Apr 22, 2023"
,"Roark, Hannah",FR-1,5:09.45,Dick Young Classic,"Apr 22, 2023"
,"Rabbani, Allison",SO-2,5:12.06,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Karow, Morgan",FR-1,5:14.43,Dick Young Classic,"Apr 22, 2023"
,"Kaczmarczyk, Crystal",SO-2,5:15.13,Mustang Open,"Apr 1, 2023"
,"Barba, Diana",FR-1,5:15.84,Dick Young Classic,"Apr 22, 2023"
,"Kaczmarczyk, Crystal",SO-2,5:17.72,Dick Young Classic,"Apr 22, 2023"
,"Klassen, Kylie",SO-2,5:19.87,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Rabbani, Allison",SO-2,5:25.03,Rittgers Invitational,"Apr 7, 2023"
,"Sheehan-Klenk, Julia",SO-2,5:25.45,Mustang Open,"Apr 1, 2023"
,"Rabbani, Allison",SO-2,5:26.06,Dick Young Classic,"Apr 22, 2023"
,"Rabbani, Allison",SO-2,5:28.47,D3 Challenge,"Mar 25, 2023"
,"Klassen, Kylie",SO-2,5:29.55,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Klassen, Kylie",SO-2,5:30.26,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Klassen, Kylie",SO-2,5:31.44,Rittgers Invitational,"Apr 7, 2023"
,"Barba, Diana",FR-1,5:31.63,D3 Challenge,"Mar 25, 2023"
,"Charron, Grace",FR-1,5:32.46,Norse Invite,"Apr 15, 2023"
,"Mullen, Ginger",SO-2,5:32.54,Norse Invite,"Apr 15, 2023"
,"Klassen, Kylie",SO-2,5:42.91,Dick Young Classic,"Apr 22, 2023"
,"Ford, Sophia",SO-2,5:52.82,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Charron, Grace",FR-1,5:54.23,Mustang Open,"Apr 1, 2023"
