Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Elliott-Rude, Eleanor",SO-2,4.75m,"15' 7""",Dick Young Classic,"Apr 22, 2023",1.4
,"Oden, Melanie",SO-2,4.73m,"15' 6.25""",Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.4
,"Oden, Melanie",SO-2,4.68m,"15' 4.25""",Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.7
,"Elliott-Rude, Eleanor",SO-2,4.67m,"15' 4""",2023 Kip Janvrin Open,"Apr 27, 2023",0.0
,"Oden, Melanie",SO-2,4.67m,"15' 4""",Norse Invite,"Apr 15, 2023",0.5
,"Oden, Melanie",SO-2,4.66m,"15' 3.5""",Monmouth College Fighting Scot Outdoor,"May 6, 2023",0.1
,"Oden, Melanie",SO-2,4.64m,"15' 2.75""",Norse Invite,"Apr 15, 2023",1.2
,"Elliott-Rude, Eleanor",SO-2,4.63m,"15' 2.25""",Norse Invite,"Apr 15, 2023",0.5
,"Elliott-Rude, Eleanor",SO-2,4.63m,"15' 2.25""",2023 Kip Janvrin Open,"Apr 27, 2023",0.1
,"Elliott-Rude, Eleanor",SO-2,4.57m,"15' 0""",Dick Young Classic,"Apr 22, 2023",1.8
,"Elliott-Rude, Eleanor",SO-2,4.56m,"14' 11.5""",Midwest Conference Outdoor Championships,"May 12, 2023",1.1
,"Oden, Melanie",SO-2,4.55m,"14' 11.25""",Norse Invite,"Apr 15, 2023",0.3
,"Oden, Melanie",SO-2,4.50m,"14' 9.25""",Midwest Conference Outdoor Championships,"May 12, 2023",1.5
,"Oden, Melanie",SO-2,4.49m,"14' 8.75""",Midwest Conference Outdoor Championships,"May 12, 2023",1.4
,"Oden, Melanie",SO-2,4.37m,"14' 4""",Norse Invite,"Apr 15, 2023",0.3
,"Oden, Melanie",SO-2,4.35m,"14' 3.25""",Norse Invite,"Apr 15, 2023",1.3
,"Elliott-Rude, Eleanor",SO-2,4.34m,"14' 3""",Norse Invite,"Apr 15, 2023",0.7
,"Vollmayr-Lee, Mira",FR-1,4.11m,"13' 6""",Midwest Conference Outdoor Championships,"May 12, 2023",1.8
,"Elliott-Rude, Eleanor",SO-2,3.94m,"12' 11.25""",Norse Invite,"Apr 15, 2023",0.4
,"Vollmayr-Lee, Mira",FR-1,3.92m,"12' 10.5""",Dick Young Classic,"Apr 22, 2023",0.1
,"Vollmayr-Lee, Mira",FR-1,3.92m,"12' 10.5""",D3 Challenge,"Mar 25, 2023",2.0
,"Vollmayr-Lee, Mira",FR-1,3.92m,"12' 10.5""",Norse Invite,"Apr 15, 2023",0.1
,"Vollmayr-Lee, Mira",FR-1,3.91m,"12' 10""",Midwest Conference Outdoor Championships,"May 12, 2023",1.8
,"Vollmayr-Lee, Mira",FR-1,3.90m,"12' 9.5""",Dick Young Classic,"Apr 22, 2023",1.9
,"Elliott-Rude, Eleanor",SO-2,3.86m,"12' 8""",Dick Young Classic,"Apr 22, 2023",0.0
,"Vollmayr-Lee, Mira",FR-1,3.83m,"12' 6.75""",Dick Young Classic,"Apr 22, 2023",1.9
,"Vollmayr-Lee, Mira",FR-1,3.45m,"11' 4""",Monmouth College Fighting Scot Outdoor,"May 6, 2023",1.2
