Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Gallagher, John",,10.12,2017 Darren Young Classic,"Feb 11, 2017"
,"Gallagher, John",,10.13,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Huelskampp, Ethan",FR-1,10.46,Wartburg Indoor Invite,"Feb 18, 2017"
,"Gallagher, John",JR-3,10.65,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Huelskamp, Ethan",FR-1,10.65,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Huelskampp, Ethan",FR-1,10.67,2017 Darren Young Classic,"Feb 11, 2017"
,"Gallagher, John",,10.68,Wartburg Indoor Invite,"Feb 18, 2017"
,"Miller, Josh",FR-1,11.55,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Miller, Josh",FR-1,11.56,2017 Darren Young Classic,"Feb 11, 2017"
,"Miller, Josh",FR-1,11.79,Wartburg Indoor Invite,"Feb 18, 2017"
,"Miller, Josh",,11.83,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
