Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",SO-2,17:53.91,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Miyamoto, Keely",SO-2,18:12.91,Darren Young Classic,"Feb 10, 2024"
,"Karow, Morgan",SO-2,18:27.04,Grinnell Invitational,"Jan 27, 2024"
,"Karow, Morgan",SO-2,18:31.85,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Harrison, Talia",FR-1,19:13.89,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Roth, Hannah",FR-1,19:14.06,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Harrison, Talia",FR-1,19:31.02,Darren Young Classic,"Feb 10, 2024"
,"Roth, Hannah",FR-1,19:40.21,Darren Young Classic,"Feb 10, 2024"
,"Harrison, Talia",FR-1,19:49.79,Grinnell Invitational,"Jan 27, 2024"
,"Roth, Hannah",FR-1,19:49.92,Grinnell Invitational,"Jan 27, 2024"
,"Ford, Sophia",JR-3,20:21.50,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Barba, Diana",SO-2,20:30.85,Grinnell Invitational,"Jan 27, 2024"
,"Ford, Sophia",JR-3,20:39.21,Darren Young Classic,"Feb 10, 2024"
,"Ford, Sophia",JR-3,21:14.79,Hilltop Invitational,"Jan 20, 2024"
,"Rainey, Quinby",FR-1,21:49.27,Darren Young Classic,"Feb 10, 2024"
