Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Roark, Hannah",SO-2,2:26.03,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Ong, Caitlin",SO-2,2:32.51,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Ong, Caitlin",SO-2,2:33.54,Darren Young Classic,"Feb 10, 2024"
,"Roark, Hannah",SO-2,2:33.79,Darren Young Classic,"Feb 10, 2024"
,"Roark, Hannah",SO-2,2:34.36,Grinnell Invitational,"Jan 27, 2024"
,"Kreeger, Brooke",FR-1,2:35.94,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Rabbani, Allison",JR-3,2:36.11,Darren Young Classic,"Feb 10, 2024"
,"Kreeger, Brooke",FR-1,2:36.79,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Rabbani, Allison",JR-3,2:37.35,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Rabbani, Allison",JR-3,2:39.00,Grinnell Invitational,"Jan 27, 2024"
,"Charron, Grace",SO-2,2:39.14,Darren Young Classic,"Feb 10, 2024"
,"Kreeger, Brooke",FR-1,2:40.53,Hilltop Invitational,"Jan 20, 2024"
,"Rainey, Quinby",FR-1,2:48.59,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Charron, Grace",SO-2,2:49.69,Grinnell Invitational,"Jan 27, 2024"
