0,1,2,3
Grinnell,328,40,1st
Vrishali Sinha,74,2,1st
Vidushi Sinha,75,3,2nd
Sam Nakahira,85,13,t-6th
Lauren Yi#,89,17,t-10th
Samanike Hengst#,94,22,t-20th
Arina Kim,94,22,t-20th
Julia Echikson,97,25,25th
Anisha Agarwalla#,98,26,26th
