Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Leisher, Ilem",FR-1,8.96,Grinnell Invitational,"Jan 27, 2024"
,"Leisher, Ilem",FR-1,9.0,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Leisher, Ilem",FR-1,9.02,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Leisher, Ilem",FR-1,9.06,Grinnell Invitational,"Jan 27, 2024"
,"Leisher, Ilem",FR-1,9.07,Darren Young Classic,"Feb 10, 2024"
,"James, Xavier",JR-3,9.23,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Leisher, Ilem",FR-1,9.23,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"James, Xavier",JR-3,9.47,Grinnell Invitational,"Jan 27, 2024"
,"James, Xavier",JR-3,9.59,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"James, Xavier",JR-3,9.6,Darren Young Classic,"Feb 10, 2024"
,"Mendola, Noah",SO-2,9.71,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"James, Xavier",JR-3,9.74,Hilltop Invitational,"Jan 20, 2024"
,"Mendola, Noah",SO-2,9.77,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"James, Xavier",JR-3,9.99,Hilltop Invitational,"Jan 20, 2024"
