Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Bottum, Rachel",FR-1,2:23.50,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Villa, Rebecca",JR-3,2:24.74,Wartburg Qualifier,"Mar 6, 2020"
,"LaVerdiere, Tori",SR-4,2:31.92,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
