0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Grinnell vs. Pima,3/21/2013,1,94,+23,10th/11
Wartburg College Spring Invite,4/13/2013,1,98,+26,78th/79
Blueboy Invitational,4/20-21/2013,2,99-94=193,+49,44th/54
Scot-Fire Invite,4/26/2013,2,90-94=184,+41,65th/72
Midwest Conference Championship,5/2-4/13,2.5,102-48-97=247,+67,42nd/45
SEASON TOTALS,SEASON TOTALS,8.5,816 Avg. 96.0,+24,-
