Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Warnock, Gavin",,6.50m,"21' 4""",Monmouth Scots Invite,"May 7, 2011",-0.9
,"Warnock, Gavin",,6.40m,"21' 0""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.1
,"Warnock, Gavin",,6.28m,"20' 7.25""",Dick Young Classic,"Apr 23, 2011",-0.6
,"Warnock, Gavin",,6.28m,"20' 7.25""",Dick Young Classic,"Apr 23, 2011",-0.6
,"Warnock, Gavin",,6.25m,"20' 6.25""",Kip Janvrin Open,"Apr 28, 2011",1.7
,"Warnock, Gavin",,6.19m,"20' 3.75""",Kip Janvrin Open,"Apr 28, 2011",1.3
,"Goldstein, Sam",SR-4,6.00m,"19' 8.25""",Dick Young Classic,"Apr 23, 2011",-0.4
,"Hirakawa, Andy",SR,5.99m,"19' 8""",Dick Young Classic,"Apr 23, 2011",2.0
,"Hirakawa, Andy",SR,5.96m,"19' 6.75""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.2
,"Hirakawa, Andy",SR,5.87m,"19' 3.25""",Dick Young Classic,"Apr 23, 2011",2.0
,"Goldstein, Sam",SR-4,5.84m,"19' 2""",Monmouth Scots Invite,"May 7, 2011",1.1
,"Hirakawa, Andy",SR,5.70m,"18' 8.5""",Cornell Invitational,"Apr 9, 2011",0.3
,"Goldstein, Sam",SR-4,5.70m,"18' 8.5""",Monmouth Scots Invite,"May 7, 2011",1.6
,"Hirakawa, Andy",SR,5.70m,"18' 8.5""",Cornell Invitational,"Apr 9, 2011",0.3
,"Goldstein, Sam",SR-4,5.69m,"18' 8""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.1
,"Goldstein, Sam",SR-4,5.65m,"18' 6.5""",Monmouth Scots Invite,"May 7, 2011",0.9
,"Goldstein, Sam",SR-4,5.53m,"18' 1.75""",Dick Young Classic,"Apr 23, 2011",-0.4
,"Goldstein, Sam",SR-4,5.45m,"17' 10.75""",Cornell Invitational,"Apr 9, 2011",0.3
,"Goldstein, Sam",SR-4,5.34m,"17' 6.25""",Cornell Invitational,"Apr 9, 2011",0.4
