Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Dalton, Adam",SR-4,15:16.32,Point Final Qualifier,"Mar 5, 2016"
,"Dalton, Adam",SR-4,15:17.35,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Dalton, Adam",SR-4,15:38.56,Grinnell Indoor Invitational,"Feb 6, 2016"
,"McLean, Anthony",JR-3,15:53.09,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"McLean, Anthony",SR-4,15:54.37,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Bass, Stewart",SO-2,16:24.26,Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"Bass, Stewart",,16:35.34,Wartburg Indoor Invite,"Feb 20, 2016"
,"Bass, Stewart",JR-3,16:42.84,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Gregorich-Trevor, Connor",JR-3,16:43.92,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Mundell, Lex",SR-4,16:55.69,Wartburg Indoor Invite,"Feb 20, 2016"
,"Mundell, Lex",SR-4,17:03.68,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Gregorich-Trevor, Connor",SO-2,17:07.85,Wartburg Indoor Invite,"Feb 20, 2016"
,"Healey, Aidan",SR-4,17:10.70,Grinnell Indoor Invitational,"Feb 6, 2016"
,"Malone, Ian",SO-2,17:17.18,Wartburg Indoor Invite,"Feb 20, 2016"
,"Healey, Aidan",SO-2,17:19.43,Wartburg Indoor Invite,"Feb 20, 2016"
,"Mulligan, Connor",JR-3,18:52.08,Wartburg Indoor Invite,"Feb 20, 2016"
