Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",SR-4,2:16.62,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Burnell, Sarah",JR-3,2:18.36,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Smith, Eva",SO-2,2:28.82,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Kubica, Samantha",SO-2,2:29.07,Darren Young Indoor Classic,"Feb 15, 2014"
,"Kubica, Samantha",,2:30.56,Wartburg Invite,"Feb 22, 2014"
,"Rudy, Meg",SR-4,2:36.89,Darren Young Indoor Classic,"Feb 15, 2014"
,"Pinnette, Ellen",JR-3,2:37.64,Wartburg Invite,"Feb 22, 2014"
,"Pinnette, Ellen",JR-3,2:40.26,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Cook, Alethea",,2:41.00,Wartburg Invite,"Feb 22, 2014"
,"Pinnette, Ellen",JR-3,2:41.36,Darren Young Indoor Classic,"Feb 15, 2014"
,"Cook, Alethea",SO-2,2:42.43,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Cook, Alethea",SO-2,2:43.19,Darren Young Indoor Classic,"Feb 15, 2014"
,"Pinnette, Ellen",JR-3,2:43.77,2014 Hilltop Invite,"Feb 1, 2014"
,"Neems, Sophie",SO-2,3:02.00,Darren Young Indoor Classic,"Feb 15, 2014"
