""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Jessica Halverson,,-,,/
,Katie Hanck,,-,,/
,Angie Jensen,,-,,/
,Maiko Moratani,,-,,/
,Courtney Gengler,,-,Fr.,/
,Mandi Hill,,-,So.,/
,Jocie Luglio,,-,Fr.,/
,Meghan Pheister,,-,So.,/
,Sara Veit,,-,Fr.,/
,Amy Walters,,-,Fr.,/
