""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Cristal Coleman,,G,5-8,Jr.,"Chicago, Ill. / Martin Luther King Prep"
,10,Sophia Gatton,,G,5-6,Fr.,"Chicago, Ill. / University of Chicago Lab School"
,11,Alex Neckopulos,,F,5-9,Fr.,"Crystal Lake, Ill. / Prairie Ridge"
,12,Haley Lopez,,G,5-7,Fr.,"Westminster, Colo. / Standley Lake"
,13,Alissa Hirsh,,G,5-5,So.,"Skokie, Ill. / Niles North"
,14,Ariel Keller,,G,5-7,Fr.,"Alden, Minn. / Alden-Conger"
,15,Abby Jaeger,,G,5-4,Sr.,"Omaha, Neb. / Westside"
,20,Lydia Stariha,,G,5-7,Fr.,"LaSalle, Ill. / St. Bede Academy"
,21,Kaitlyn Norton,,G,5-9,Fr.,"Coweta, Okla. / Coweta"
,22,Leah Greenberg,,G,5-6,Fr.,"Oak Park, Calif. / Oak Park"
,23,Anne Boldt,,G,5-8,So.,"Stillwater, Minn. / Stillwater Area"
,24,Alex Plemmons,,F,5-11,Jr.,"Grosse Ile, Mich. / Gross Ile"
,32,Jordan Matosky,,G,5-6,So.,"Lafayette, Colo.. / Centaurus"
,44,Jordan Schellinger,,F,5-11,Jr.,"Avon, Minn. / St. Johns Prep"
,Mgr.,Izzie Pfeiffer,,,-,,/
,Mgr.,Claire Ruegg,,,-,,/
,StdntAsst,Rebecca DeGroot,,,-,,/
