""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,10,Sophia Gatton,,G,5-6,Sr.,"Chicago, Ill. / University of Chicago Lab School"
,11,Alex Neckopulos,,F,5-9,Sr.,"Crystal Lake, Ill. / Prairie Ridge"
,12,Haley Lopez,,G,5-7,Sr.,"Westminster, Colo. / Standley Lake"
,13,Hanna Kessel,,G,5-8,So.,"Cave Creek, Ariz. / Cactus Shadows"
,14,Regan Kasprak,,G,5-5,So.,"Winfield, Ill. / Saint Francis Preparatory"
,15,Ariel Keller,,G,5-7,Sr.,"Alden, Minn. / Alden-Conger"
,20,Lydia Stariha,,G,5-7,Sr.,"LaSalle, Ill. / St. Bede Academy"
,21,Kaitlyn Norton,,G,5-9,Sr.,"Coweta, Okla. / Coweta"
,23,Leah Greenberg,,G,5-6,Sr.,"Oak Park, Calif. / Oak Park"
,24,Margaret Giles,,F,5-11,Jr.,"Charlottesville, Va. / Saint Anne's-Belfield"
,32,Mikayla Kricfalusi,,C,6-0,Fr.,"San Marcos, Calif. / High Tech High North Country"
,34,Abby Hellweg,,F,5-10,So.,"Cedar Rapids, Iowa / Kennedy"
,42,Kayla Morrissey,,F,5-10,Jr.,"Burr Ridge, Ill. / Lyons Township North"
,44,Daria Guzzo,,C,5-11,So.,"Coal Valley, Ill. / Alleman"
