""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,10,May Hanlon,,F,5-10,Fr.,"Island Pond, Vt. / North Country Union"
,11,Mikayla Kricfalusi,,C,6-0,So.,"San Marcos, Calif. / High Tech High North Country"
,13,Hanna Kessel,,G,5-8,Jr.,"Cave Creek, Ariz. / Cactus Shadows"
,14,Regan Kasprak,,G,5-6,Jr.,"Winfield, Ill. / Saint Francis Preparatory"
,20,Kathryn Stender,,G,5-9,Fr.,"Chicago, Ill. / Latin School"
,22,Olivia Woolam,,G,5-7,Fr.,"Fort Myers, Fla. / Bishop Verot"
,23,Claire Collier,,G/F,6-0,Fr.,"Barrington, Ill. / Barrington"
,24,Margaret Giles,,F,5-11,Sr.,"Charlottesville, Va. / Saint Anne's-Belfield"
,25,Tyria Heath,,G,5-9,Fr.,"Phoenix, Ariz. / Desert Vista"
,34,Abby Hellweg,,F,5-10,Jr.,"Cedar Rapids, Iowa / Kennedy"
,35,Stephany Dos Santos,,C,6-0,Fr.,"Philadelphia, Pa. / New Foundations Charter School"
,42,Kayla Morrissey,,F,5-10,Sr.,"Burr Ridge, Ill. / Lyons Township North"
,44,Daria Guzzo,,C,5-11,Jr.,"Coal Valley, Ill. / Alleman"
