""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Sofia Ahooja,,G,5-6,Fr.,"San Diego, Calif. / Del Norte"
,11,Mikayla Kricfalusi,,C,6-0,Jr.,"San Marcos, Calif. / High Tech High North Country"
,12,Kate Tomczik,,F,5-11,Fr.,"St. Cloud, Minn. / Cathedral"
,13,Hanna Kessel,,G,5-8,Sr.,"Cave Creek, Ariz. / Cactus Shadows"
,14,Regan Kasprak,,G,5-6,Sr.,"Winfield, Ill. / Saint Francis Preparatory"
,15,Sasha Thomas,,G,5-6,Fr.,"Ann Arbor, Mich. / Arbor Preparatory"
,20,Kathryn Stender,,G,5-9,So.,"Chicago, Ill. / Latin School"
,21,Keely Conroy,,G,5-8,Fr.,"Minneapolis, Minn. / Breck School"
,22,Olivia Woolam,,G,5-7,So.,"Fort Myers, Fla. / Bishop Verot"
,23,Claire Collier,,G/F,6-0,So.,"Barrington, Ill. / Barrington"
,24,Orion Shirley,,G,5-10,Fr.,"Murtaugh, Idaho / Canyon Ridge"
,25,Tyria Heath,,G,5-9,So.,"Phoenix, Ariz. / Desert Vista"
,32,Aidan Coalson,,F,6-1,Fr.,"River Forest, Ill. / Oak Park River Forest"
,34,Abby Hellweg,,F,5-10,Sr.,"Cedar Rapids, Iowa / Kennedy"
,35,Stephany Dos Santos,,C,6-0,So.,"Philadelphia, Pa. / New Foundations Charter School"
,42,Ellie Gubbrud,,C,6-0,Fr.,"St. Paul, Minn. / Central"
,44,Daria Guzzo,,C,5-11,Sr.,"Coal Valley, Ill. / Alleman"
