""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Alissa Hirsh,,G,5-5,Sr.,"Skokie, Ill. / Niles North"
,10,Sophia Gatton,,G,5-6,Jr.,"Chicago, Ill. / University of Chicago Lab School"
,11,Alex Neckopulos,,F,5-9,Jr.,"Crystal Lake, Ill. / Prairie Ridge"
,12,Haley Lopez,,G,5-7,Jr.,"Westminster, Colo. / Standley Lake"
,13,Hanna Kessel,,G,5-8,Fr.,"Cave Creek, Ariz. / Cactus Shadows"
,14,Regan Kasprak,,G,5-5,Fr.,"Winfield, Ill. / Saint Francis Preparatory"
,15,Ariel Keller,,G,5-7,Jr.,"Alden, Minn. / Alden-Conger"
,20,Lydia Stariha,,G,5-7,Jr.,"LaSalle, Ill. / St. Bede Academy"
,21,Kaitlyn Norton,,G,5-9,Jr.,"Coweta, Okla. / Coweta"
,22,Leah Greenberg,,G,5-6,Jr.,"Oak Park, Calif. / Oak Park"
,23,Anne Boldt,,G,5-8,Sr.,"Stillwater, Minn. / Stillwater Area"
,24,Margaret Giles,,F,5-11,So.,"Charlottesville, Va. / Saint Anne's-Belfield"
,32,Jordan Matosky,,G,5-6,Sr.,"Lafayette, Colo.. / Centaurus"
,34,Abby Hellweg,,F,5-10,Fr.,"Cedar Rapids, Iowa / Kennedy"
,42,Kayla Morrissey,,F,5-10,So.,"Burr Ridge, Ill. / Lyons Township North"
,44,Daria Guzzo,,C,5-11,Fr.,"Coal Valley, Ill. / Alleman"
,,Claire Ruegg,,,-,Fr.,/
,Mgr.,Ian Windham,,,-,,/
