""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,5,Sofia Ahooja,,G,5-6,Sr.,"San Diego, Calif. / Del Norte"
,10,Nikki Ware,,G,5-5,Fr.,"Long Grove, Ill. / Adlai E. Stevenson"
,11,Eva Carchidi,,G,5-8,So.,"Portsmouth, N.H. / Phillips Exeter Academy"
,12,Kate Tomczik,,F,5-11,Sr.,"St. Cloud, Minn. / Cathedral"
,13,Grace Marsh,,G,5-8,Fr.,"Salt Lake City, Utah / Skyline"
,14,Erin Lillis,,G,5-8,So.,"Bloomington, Ind. / North"
,15,P.K. Hall,,F,5-10,Fr.,"Alamo, Calif. / Miramonte"
,20,Aiyana Rockwell,,G,5-7,So.,"Louisville, Colo. / Peak to Peak Charter School"
,21,Emmy Nyquist,,G,5-5,So.,"Highland, Ill. / Highland"
,22,Valeriya Woodard,,G,5-6,Fr.,"Sartell, Minn. / Saint John's Preparatory School"
,24,Annie Filkins,,G,5-6,So.,"Bakersfield, Calif. / Baskersfield Christian High School"
,25,Annabel Dougherty,,F,5-9,Fr.,"La Grange, Ill. / Lyons Township North"
,33,Elena Friedman,,G,5-9,So.,"Truckee, Calif. / Forest Charter School"
,34,Sara Booher,,C,6-3,Fr.,"Menomonee Falls, Wis. / Menomonee Falls"
,35,Sarah Toay,,F,6-0,Jr.,"Mineral Point, Wis. / Mount Horeb"
,42,Ellie Gubbrud,,C,6-0,Sr.,"St. Paul, Minn. / Central"
,44,Sophie Delaney,,F,5-9,Fr.,"Saint Peters, Mo. / Francis Howell Central"
,45,Aliya Singleton,,F,5-11,So.,"Idaho Springs, Colo. / Clear Creek"
,,Aidan Coalson,,,-,Fr.,"River Forest, Ill. / Oak Park River Forest"
