Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Krauth, Sam",SO-2,4:28.90,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Krauth, Sam",SO-2,4:29.78,Wartburg Invitational,"Feb 18, 2012"
,"Tyler, Ben",SO-2,4:36.30,2012 Hilltop Invite,"Feb 4, 2012"
,"Krauth, Sam",SO-2,4:37.00,2012 Hilltop Invite,"Feb 4, 2012"
,"Griffith, Evan",FR-1,4:41.00,2012 Hilltop Invite,"Feb 4, 2012"
,"McCallum-Cook, Ian",JR-3,4:47.98,2012 Hilltop Invite,"Feb 4, 2012"
,"Seng, John",SO-2,4:49.18,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Seng, John",SO-2,4:55.79,Darren Young Classic,"Feb 11, 2012"
,"Harris, Joe",,5:00.76,2012 Hilltop Invite,"Feb 4, 2012"
,"Anderson, Doug",FR-1,5:06.23,2012 Hilltop Invite,"Feb 4, 2012"
,"Courtney, Ryan",FR-1,5:10.33,Darren Young Classic,"Feb 11, 2012"
,"McCallum-Cook, Colin",SR-4,5:15.16,Wartburg Invitational,"Feb 18, 2012"
,"McCallum-Cook, Colin",SR-4,5:23.47,Darren Young Classic,"Feb 11, 2012"
,"Fretheim, Arthur",SO-2,5:49.00,Wartburg Invitational,"Feb 18, 2012"
,"Fretheim, Arthur",SO-2,6:09.16,2012 Hilltop Invite,"Feb 4, 2012"
,"Fretheim, Arthur",SO-2,6:13.49,Darren Young Classic,"Feb 11, 2012"
