Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",SO-2,4:03.18,Emory Invitational,"Mar 21, 2014"
,"Angel, Zach",JR-3,4:05.47,2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Tyler, Ben",SR-4,4:07.37,Cornell College Invitational,"Apr 5, 2014"
,"Angel, Zach",JR-3,4:07.49,Emory Invitational,"Mar 21, 2014"
,"Angel, Zach",JR-3,4:07.49,Emory Invitational,"Mar 21, 2014"
,"Kolacia, Nate",SO-2,4:10.27,2014 Midwest Conference T&F Championships,"May 9, 2014"
,"McLean, Anthony",FR-1,4:11.53,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Tyler, Ben",SR-4,4:12.06,2014 Kip Janvrin Open,"Apr 24, 2014"
,"McLean, Anthony",FR-1,4:12.87,2014 Midwest Conference T&F Championships,"May 9, 2014"
,"McLean, Anthony",FR-1,4:14.54,Cornell College Invitational,"Apr 5, 2014"
,"Angel, Zach",JR-3,4:14.90,2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Dalton, Adam",SO-2,4:17.62,2014 Kip Janvrin Open,"Apr 24, 2014"
,"McCarthy, Matthew",FR-1,4:22.10,Cornell College Invitational,"Apr 5, 2014"
,"Moorehead, Kyle",JR-3,4:23.89,Cornell College Invitational,"Apr 5, 2014"
,"Dowdell, Colin",FR-1,4:26.65,Emory Invitational,"Mar 21, 2014"
,"Dowdell, Colin",FR-1,4:26.65,Emory Invitational,"Mar 21, 2014"
,"Mundell, Lex",SO-2,4:31.50,Cornell College Invitational,"Apr 5, 2014"
,"Mason, Fintan",FR-1,4:33.38,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Mason, Fintan",FR-1,4:42.60,Cornell College Invitational,"Apr 5, 2014"
,"Vasquez, Alberto",SO-2,4:43.78,2014 Kip Janvrin Open,"Apr 24, 2014"
,"Mulligan, Connor",FR-1,4:45.21,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Healey, Aidan",FR-1,4:46.90,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Margida, Greg",SO-2,4:48.31,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Healey, Aidan",FR-1,4:49.48,Cornell College Invitational,"Apr 5, 2014"
,"Mothershead, Ben",SO-2,4:52.45,Cornell College Invitational,"Apr 5, 2014"
,"Vasquez, Alberto",SO-2,4:54.83,Cornell College Invitational,"Apr 5, 2014"
,"Mothershead, Ben",SO-2,5:00.99,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Munoz, Roberto",SO-2,5:30.12,2014 Kip Janvrin Open,"Apr 24, 2014"
,"Munoz, Roberto",SO-2,5:41.59,Cornell College Invitational,"Apr 5, 2014"
,"Fretheim, Arthur",SR-4,6:09.05,Cornell College Invitational,"Apr 5, 2014"
