0,1,2,3
Grinnell College,323,35,13th
Lauren Chen,76,4,t-15th
Nina Kouchi,80,8,t-40th
Aubrie Torhorst,83,11,t-62nd
Parker Perry,84,12,t-65th
Mary Li,85,13,t-72nd
Lexi Mueldener#,88,16,t-81st
Zoe Robinson#,98,26,89th
