Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",JR-3,8:57.84,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"McLean, Anthony",SO-2,8:59.66,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Kolacia, Nate",JR-3,9:08.94,Wartburg Indoor Invite,"Feb 21, 2015"
,"McLean, Anthony",SO-2,9:15.98,2015 Hilltop Invite,"Jan 31, 2015"
,"Griffith, Evan",SR-4,9:24.09,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Gregorich-Trevor, Connor",,9:26.29,Wartburg Indoor Invite,"Feb 21, 2015"
,"Gregorich-Trevor, Connor",,9:27.44,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Monovich, Alexander",FR-1,9:27.60,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Griffith, Evan",SR-4,9:29.11,Wartburg Indoor Invite,"Feb 21, 2015"
,"Gregorich-Trevor, Connor",SO-2,9:32.46,2015 Hilltop Invite,"Jan 31, 2015"
,"Griffith, Evan",SR-4,9:39.74,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Monovich, Alexander",SO-2,9:43.21,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Murphy, Matthew",,10:09.46,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Malone, Ian",,10:14.74,Wartburg Indoor Invite,"Feb 21, 2015"
,"Grant, Reilly",SO-2,10:15.61,2015 Hilltop Invite,"Jan 31, 2015"
,"Malone, Ian",SO-2,10:17.09,2015 Hilltop Invite,"Jan 31, 2015"
,"Mulligan, Connor",SO-2,10:18.98,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Anderson, Doug",SR-4,10:20.95,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Grant, Reilly",SO-2,10:27.77,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Gleason, Keanan",,10:28.04,Wartburg Indoor Invite,"Feb 21, 2015"
,"Healey, Aidan",SO-2,10:28.10,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Sokolsky, Sam",SO-2,10:35.26,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Mulligan, Connor",SO-2,10:36.33,2015 Hilltop Invite,"Jan 31, 2015"
