Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Maher, Harry",SR-4,2:03.86,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Maher, Harry",SR-4,2:04.25,Wartburg Indoor Invite,"Feb 21, 2015"
,"McCarthy, Matthew",SO-2,2:04.69,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Anderson, Kevin",FR-1,2:05.36,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Kolacia, Nate",SO-2,2:05.85,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Baumann, Joel",,2:06.40,Wartburg Indoor Invite,"Feb 21, 2015"
,"Anderson, Kevin",SO-2,2:06.42,2015 Hilltop Invite,"Jan 31, 2015"
,"Maher, Harry",JR-3,2:07.51,Grinnell Indoor Invitational,"Feb 7, 2015"
,"McCarthy, Matthew",SO-2,2:07.65,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Baumann, Joel",,2:07.90,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Maher, Harry",SR-4,2:08.17,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Anderson, Kevin",FR-1,2:09.25,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Baumann, Joel",SO-2,2:11.63,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Murphy, Matthew",SO-2,2:13.22,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Murphy, Matthew",,2:14.27,Wartburg Indoor Invite,"Feb 21, 2015"
,"Malone, Ian",,2:15.59,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Valle-Cruz, Victor",,2:17.08,Wartburg Indoor Invite,"Feb 21, 2015"
,"Anderson, Doug",SR-4,2:19.95,Wartburg Indoor Invite,"Feb 21, 2015"
,"Healey, Aidan",SO-2,2:19.99,Wartburg Indoor Invite,"Feb 21, 2015"
,"Margida, Greg",JR-3,2:20.28,Wartburg Indoor Invite,"Feb 21, 2015"
,"Anderson, Doug",SR-4,2:20.92,2015 Hilltop Invite,"Jan 31, 2015"
,"Valle-Cruz, Victor",SO-2,2:21.62,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Valle-Cruz, Victor",,2:23.44,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Margida, Greg",SO-2,2:24.20,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Gleason, Keanan",SO-2,2:26.83,2015 Hilltop Invite,"Jan 31, 2015"
,"Munoz, Roberto",SO-2,2:40.00,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Munoz, Roberto",JR-3,2:41.55,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
