Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",JR-3,4:25.49,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"McCarthy, Matthew",SO-2,4:35.32,Wartburg Indoor Invite,"Feb 21, 2015"
,"Kolacia, Nate",SO-2,4:35.88,2015 Hilltop Invite,"Jan 31, 2015"
,"McCarthy, Matthew",SO-2,4:37.03,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"McCarthy, Matthew",SO-2,4:39.51,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Anderson, Kevin",FR-1,4:41.02,Wartburg Indoor Invite,"Feb 21, 2015"
,"Gregorich-Trevor, Connor",SO-2,4:42.60,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Anderson, Kevin",SO-2,4:44.01,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Anderson, Kevin",FR-1,4:44.56,Midwest Conference Indoor Championships,"Feb 27, 2015"
,"Bass, Stewart",,4:47.60,Wartburg Indoor Invite,"Feb 21, 2015"
,"McCarthy, Matthew",SO-2,4:48.64,2015 Hilltop Invite,"Jan 31, 2015"
,"Monovich, Alexander",SO-2,4:54.47,2015 Hilltop Invite,"Jan 31, 2015"
,"Maher, Harry",JR-3,4:54.94,2015 Hilltop Invite,"Jan 31, 2015"
,"Murphy, Matthew",SO-2,4:58.89,2015 Hilltop Invite,"Jan 31, 2015"
,"Anderson, Doug",SR-4,5:03.61,Wartburg Indoor Invite,"Feb 21, 2015"
,"Anderson, Doug",SR-4,5:06.76,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Margida, Greg",JR-3,5:06.99,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Malone, Ian",SO-2,5:07.71,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Margida, Greg",JR-3,5:07.97,Wartburg Indoor Invite,"Feb 21, 2015"
,"Davis-Johnson, Collin",SR-4,5:09.13,Wartburg Indoor Invite,"Feb 21, 2015"
,"Gleason, Keanan",SO-2,5:09.37,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Baumann, Joel",SO-2,5:09.83,2015 Hilltop Invite,"Jan 31, 2015"
,"Healey, Aidan",SO-2,5:10.83,2015 Hilltop Invite,"Jan 31, 2015"
,"Davis-Johnson, Collin",SR-4,5:11.96,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Margida, Greg",SO-2,5:13.01,Grinnell Indoor Invitational,"Feb 7, 2015"
,"Margida, Greg",SO-2,5:13.45,2015 Hilltop Invite,"Jan 31, 2015"
,"Gleason, Keanan",SO-2,5:13.67,2015 Hilltop Invite,"Jan 31, 2015"
,"Gleason, Keanan",,5:14.73,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
,"Sokolsky, Sam",SO-2,5:19.11,2015 Hilltop Invite,"Jan 31, 2015"
,"Davis-Johnson, Collin",JR-3,5:20.33,2015 Hilltop Invite,"Jan 31, 2015"
,"Valle-Cruz, Victor",,5:27.61,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
