Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Saldanha, John Michael",FR-1,6.69m,"21' 11.5""",Midwest Conference Outdoor Championships,"May 12, 2023",1.2
,"Hiser, Alexander",JR-3,6.17m,"20' 3""",Midwest Conference Outdoor Championships,"May 12, 2023",1.0
