Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lieberman, Matthew",JR-3,15:50.36,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Phipps, Matthew",SR-4,16:10.68,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Osler, John",SR-4,16:16.58,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Skidmore, Spencer",FR-1,16:33.24,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"George, Andrew",JR-3,17:36.00,Darren Young Classic,"Feb 15, 2020"
