""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Lauren Chen,Sr.,"Manhasset, N.Y. / Manhasset"
,Saya Geisendorfer,Fr.,"Quincy, Ill. / Quincy"
,Meilin Hoshino,Fr.,"Chicago, Ill. / Whitney M. Young Magnet High School"
,Vidushi Keni,So.,"Bengaluru, India / Indus International School"
,Kavya Keshav,So.,"Singapore, Singapore / Stamford American International School"
,Emily Lackershire,Fr.,"Happy Valley, Ore. / Adrienne C. Nelson"
,Mary Li,Jr.,"Beijing, China / Beijing City International School"
,Sara Meneses,So.,"Bogota, Colombia / Gimnasio Femenino"
,Amy Nguyen,So.,"Ho Chi Minh, Vietnam / Montverde Academy"
,Parker Perry,Sr.,"St. Louis, Mo. / MICDS"
