""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Saya Geisendorfer,So.,"Quincy, Ill. / Quincy"
,Meilin Hoshino,So.,"Chicago, Ill. / Whitney M. Young Magnet High School"
,Vidushi Keni,Jr.,"Bengaluru, India / Indus International School"
,Kavya Keshav,Jr.,"Singapore, Singapore / Stamford American International School"
,Emily Lackershire,So.,"Happy Valley, Ore. / Adrienne C. Nelson"
,Mary Li,Sr.,"Beijing, China / Beijing City International School"
,Sara Meneses,Jr.,"Bogota, Colombia / Gimnasio Femenino"
,Amy Nguyen,Jr.,"Ho Chi Minh, Vietnam / Montverde Academy"
,Waverly Yang,Fr.,"St. Paul, Minn. / Woodbury"
