Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Holtzman, Gwen",SO-2,1:09.95,2017 Dick Young Invitational,"Apr 22, 2017"
,"Holtzman, Gwen",SO-2,1:10.09,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Holtzman, Gwen",SO-2,1:10.81,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Holtzman, Gwen",SO-2,1:10.85,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Holtzman, Gwen",SO-2,1:11.29,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Holtzman, Gwen",SO-2,1:11.86,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Holtzman, Gwen",SO-2,1:12.23,2017 Cornell Invite,"Apr 8, 2017"
,"Holtzman, Gwen",SO-2,1:12.89,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Teagle, Whitney",JR-3,1:19.22,2017 Cornell Invite,"Apr 8, 2017"
