Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Jacobs, Tommy",FR-1,12.16m,"39' 10.75""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,12.00m,"39' 4.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,11.79m,"38' 8.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,11.77m,"38' 7.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Jacobs, Tommy",FR-1,11.72m,"38' 5.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,11.69m,"38' 4.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,11.61m,"38' 1.25""",Hilltop Invitational,"Jan 19, 2019",0.0
,"Jacobs, Tommy",FR-1,11.59m,"38' 0.25""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Jacobs, Tommy",FR-1,11.46m,"37' 7.25""",Hilltop Invitational,"Jan 19, 2019",0.0
,"Jacobs, Tommy",FR-1,11.26m,"36' 11.5""",Hilltop Invitational,"Jan 19, 2019",0.0
,"Jacobs, Tommy",FR-1,11.25m,"36' 11""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Jacobs, Tommy",FR-1,11.17m,"36' 7.75""",Hilltop Invitational,"Jan 19, 2019",0.0
