Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lennon, John",SR-4,15:24.07,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lennon, John",SR-4,15:41.33,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Lieberman, Matthew",SO-2,15:59.92,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Osler, John",SR-4,16:09.46,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Osler, John",SR-4,16:27.31,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Chamberland, Lucas",SO-2,16:37.51,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Harrison, Kody",FR-1,16:49.64,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Harrison, Kody",FR-1,16:57.06,Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Harvey, Ben",FR-1,16:57.88,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"George, Andrew",SO-2,18:27.45,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Rowekamp, Sam",FR-1,19:56.12,2019 Grinnell Indoor Invitational,"Jan 26, 2019"
