Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",SR-4,1:53.30,Florida Relays,"Mar 31, 2016"
,"Crail, Nathaniel",FR-1,1:59.63,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Anderson, Kevin",JR-3,1:59.75,16 Midwest Conference Championships,"May 13, 2016"
,"O'Reilly, Sean",SO-2,2:01.94,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Dalton, Adam",SR-4,2:03.47,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Baumann, Joel",JR-3,2:03.55,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Lennon, John",SO-2,2:05.91,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Gregorich-Trevor, Connor",JR-3,2:09.10,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016"
,"Murphy, Matthew",JR-3,2:10.47,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Hansen, Pieter",SO-2,2:10.49,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Brunet, Chris",FR-1,2:12.82,Monmouth College Fighting Scots Outdoor,"May 7, 2016"
,"Margida, Greg",SR-4,2:19.65,Grinnell College Dick Young Classic,"Apr 23, 2016"
,"Cernek, Stephan",SO-2,2:23.33,Grinnell College Dick Young Classic,"Apr 23, 2016"
