Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"James, Xavier",FR-1,9.65,Liz Wuertz Invite,"Feb 19, 2022"
,"James, Xavier",FR-1,9.73,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"James, Xavier",FR-1,9.78,Darren Young Invitational,"Feb 12, 2022"
,"James, Xavier",FR-1,9.82,Grinnell Invitational,"Jan 29, 2022"
,"James, Xavier",FR-1,9.85,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"James, Xavier",FR-1,10.02,Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"James, Xavier",FR-1,10.02,Grinnell Invitational,"Jan 29, 2022"
,"Hollond, Sterling",FR-1,10.44,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Hollond, Sterling",FR-1,10.48,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"James, Xavier",FR-1,10.57,Hilltop Invitational,"Jan 22, 2022"
,"Hollond, Sterling",FR-1,10.71,Liz Wuertz Invite,"Feb 19, 2022"
