Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lennon, John",SO-2,4:07.62,2017 Dick Young Invitational,"Apr 22, 2017"
,"Krewson, Daniel",SO-2,4:09.29,2017 Dick Young Invitational,"Apr 22, 2017"
,"Hansen, Pieter",SO-2,4:09.33,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Crail, Nathaniel",SO-2,4:11.94,2017 Dick Young Invitational,"Apr 22, 2017"
,"Gregorich-Trevor, Connor",JR-3,4:12.86,2017 Dick Young Invitational,"Apr 22, 2017"
,"Gregorich-Trevor, Connor",JR-3,4:13.13,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Gregorich-Trevor, Connor",JR-3,4:14.26,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Lennon, John",SO-2,4:14.32,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Gregorich-Trevor, Connor",JR-3,4:16.17,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Crail, Nathaniel",SO-2,4:16.95,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Gregorich-Trevor, Connor",JR-3,4:17.21,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"O'Reilly, Sean",SO-2,4:18.48,2017 Dick Young Invitational,"Apr 22, 2017"
,"McLean, Anthony",SR-4,4:18.50,2017 Dick Young Invitational,"Apr 22, 2017"
,"Schulte, Jackson",FR-1,4:18.72,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Crail, Nathaniel",SO-2,4:22.22,Midwest Conference Outdoor Championship,"May 12, 2017"
,"O'Reilly, Sean",SO-2,4:22.67,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Hansen, Pieter",SO-2,4:22.96,2017 Cornell Invite,"Apr 8, 2017"
,"Schulte, Jackson",FR-1,4:25.13,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Phipps, Matthew",FR-1,4:25.88,2017 Dick Young Invitational,"Apr 22, 2017"
,"Sokolsky, Sam",SR-4,4:28.25,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Jensen, Joshua",SO-2,4:29.51,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Sokolsky, Sam",SR-4,4:30.77,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Phipps, Matthew",FR-1,4:32.18,2017 Cornell Invite,"Apr 8, 2017"
,"Sokolsky, Sam",SR-4,4:33.64,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Phipps, Matthew",FR-1,4:33.66,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Hansen, Pieter",SO-2,4:34.40,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Osler, John",FR-1,4:34.61,2017 Cornell Invite,"Apr 8, 2017"
,"Sokolsky, Sam",SR-4,4:34.67,2017 Dick Young Invitational,"Apr 22, 2017"
,"Bass, Stewart",JR-3,4:38.60,2017 Dick Young Invitational,"Apr 22, 2017"
,"Osler, John",FR-1,4:38.90,2017 Dick Young Invitational,"Apr 22, 2017"
,"Bass, Stewart",JR-3,4:39.15,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Healey, Aidan",JR-3,4:42.43,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Sokolsky, Sam",SR-4,4:48.12,2017 Cornell Invite,"Apr 8, 2017"
,"Mulligan, Connor",SR-4,4:48.74,2017 Dick Young Invitational,"Apr 22, 2017"
,"Hansen, Pieter",SO-2,4:51.26,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Collins, Sam",SO-2,4:53.73,2017 Dick Young Invitational,"Apr 22, 2017"
,"Collins, Sam",SO-2,5:01.06,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
