Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Schaefer, Emma",JR-3,18:25.02,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Diamond-Berman, Mira",FR-1,19:41.93,Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Ford, Sophia",FR-1,20:37.29,Liz Wuertz Invite,"Feb 19, 2022"
,"LeBlanc, Megan",JR-3,20:59.39,Grinnell Invitational,"Jan 29, 2022"
