Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",SR-4,10.43m,"34' 2.75""",Grinnell Invitational,"Jan 29, 2022",NWI
,"Oden, Melanie",FR-1,9.67m,"31' 8.75""",Liz Wuertz Invite,"Feb 19, 2022",NWI
