Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"McLean, Anthony",SR-4,10:13.61,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Bass, Stewart",JR-3,10:26.53,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Phipps, Matthew",FR-1,10:40.77,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Bass, Stewart",JR-3,10:42.22,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Bass, Stewart",JR-3,10:46.63,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Phipps, Matthew",FR-1,10:53.48,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Healey, Aidan",JR-3,11:09.26,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Gregorich-Trevor, Connor",JR-3,11:09.74,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Healey, Aidan",JR-3,11:28.24,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Miller, Josh",SO-2,11:58.04,2017 Kip Janvrin Open,"Apr 27, 2017"
