Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fadden, Lucas",FR-1,6.97,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Hiser, Alexander",SR-4,7.15,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Fitzgerald, Keaton",FR-1,7.5,Hilltop Invitational,"Jan 21, 2023"
,"Fornari, Luca",SO-2,7.56,Grinnell Opener,"Dec 9, 2022"
,"Stefan, Luke",SO-2,7.56,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Walcher, Kyler",SR-4,7.64,Hilltop Invitational,"Jan 21, 2023"
,"Reyes, Will",FR-1,7.67,Darren Young Classic,"Feb 11, 2023"
,"Saldanha, John Michael",FR-1,7.74,Hilltop Invitational,"Jan 21, 2023"
,"Milenge, Moise",FR-1,7.79,Grinnell Opener,"Dec 9, 2022"
,"Novelle, Jack",FR-1,7.92,Grinnell Invitational,"Jan 28, 2023"
