Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Saldanha, John Michael",FR-1,6.50m,"21' 4""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Saldanha, John Michael",FR-1,6.45m,"21' 2""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Hiser, Alexander",SR-4,6.43m,"21' 1.25""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Gilbert, Aiden",JR-3,6.38m,"20' 11.25""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Saldanha, John Michael",FR-1,6.32m,"20' 9""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Hiser, Alexander",SR-4,6.29m,"20' 7.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Hiser, Alexander",SR-4,6.24m,"20' 5.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Hiser, Alexander",SR-4,6.17m,"20' 3""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Gilbert, Aiden",JR-3,6.13m,"20' 1.5""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Hiser, Alexander",SR-4,6.12m,"20' 1""",Darren Young Classic,"Feb 11, 2023",NWI
,"Hiser, Alexander",SR-4,6.12m,"20' 1""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Saldanha, John Michael",FR-1,6.11m,"20' 0.5""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Saldanha, John Michael",FR-1,6.10m,"20' 0.25""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Hiser, Alexander",SR-4,6.05m,"19' 10.25""",Darren Young Classic,"Feb 11, 2023",NWI
,"Hiser, Alexander",SR-4,5.99m,"19' 8""",Darren Young Classic,"Feb 11, 2023",NWI
,"Saldanha, John Michael",FR-1,5.99m,"19' 8""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Hiser, Alexander",SR-4,5.93m,"19' 5.5""",Darren Young Classic,"Feb 11, 2023",NWI
,"Saldanha, John Michael",FR-1,5.92m,"19' 5.25""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Saldanha, John Michael",FR-1,5.86m,"19' 2.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Saldanha, John Michael",FR-1,5.73m,"18' 9.75""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Hiser, Alexander",SR-4,5.56m,"18' 3""",Darren Young Classic,"Feb 11, 2023",NWI
,"Saldanha, John Michael",FR-1,5.46m,"17' 11""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Saldanha, John Michael",FR-1,5.24m,"17' 2.25""",Darren Young Classic,"Feb 11, 2023",NWI
