Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Montgomery, David",SR-4,4:05.74,Central Open,"May 7, 2010"
,"McCallum-Cook, Ian",SR,4:13.10,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"McCallum-Cook, Ian",SR,4:16.18,Central Open,"May 7, 2010"
,"Tylinski, Michael",,4:16.77,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Tylinski, Michael",,4:23.96,Kip Janvrin Open,"Apr 22, 2010"
,"Jarvis, Erik",SR,4:24.03,2010 ASICS Winthrop Invitational,"Mar 25, 2010"
,"Figge, Erik",,4:27.75,Spartan Open,"May 1, 2010"
,"Zyskowski, Robert",SR-4,4:29.67,Spartan Open,"May 1, 2010"
,"Redman, Austin",SR,4:40.64,Central Open,"May 7, 2010"
,"Salazar, David",,4:55.77,Central Open,"May 7, 2010"
,"Zeitz, Marcus",SR,5:07.45,Central Open,"May 7, 2010"
