""
IMAGE,NAME,CAPTAIN,YR.,HOMETOWN / HIGH SCHOOL
,Anna Ahrens,,Fr.,"Madison, Wis. / West"
,Nicole Arredondo,,Fr.,"Wheaton, Ill. / Wheaton North"
,Andrea Baumgartel,,Fr.,"Peoria, Ill. / Richwoods"
,Alethea Cook,,Sr.,"Grinnell, Iowa / Grinnell"
,Elinor Hanley,,So.,"Chevy Chase, Md. / National Cathedral School"
,Marie Kolarik,,Jr.,"Brookline, Mass. / Brookline"
,Nele Loecher,,So.,"Ueberlingen, Germany / Schule Schloss Salem"
,Sophie Macklem-Johnson,,So.,"Saint Louis Park, Minn. / Saint Louis Park"
,Caryn McKechnie,,So.,"Madison, Wis. / West"
,Cassandra Miller,,Sr.,"Las Vegas, N.M. / West Las Vegas"
,Bridget O'Malley,,Jr.,"Corvallis, Ore. / Emma Willard School"
,Jillian Rix,,Fr.,"Portland, Ore. / Saint Marys Academy"
,Clare Roberts,,Sr.,"Chesterfield, Mo. / Parkway Central"
,Yufei Wang,,So.,"Condado, Puerto Rico / Arcadia"
,Shannon Young,,Jr.,"Colorado Springs, Colo. / Coronado"
,Toni Androski,,Sr.,"Hutchison, Kan. / Butler"
,Emily Burgess,,Fr.,"Forest Grove, Ore. / Forest Grove"
,Paulina Campbell,,Sr.,"Davidson, N.C. / Woodlawn School"
,Carson Cary,,Fr.,"Des Moines, Iowa / Roosevelt"
,Sarina Farb,,Sr.,"Lecompton, Kan. / Lawrence Free State"
,Samantha Kubica,,Sr.,"Bensenville, Ill. / Fenton"
,Emma Luhmann,,So.,"Dayton, Iowa / Southeast Webster Grand"
,Sophie Neems,,Sr.,"Iowa City, Iowa / City High"
,Phoebe Pinder,,Sr.,"Pelham, N.Y. / Pelham Memorial"
,Christine Rains,,So.,"Brookfield, Ill. / Lyons Township North"
,Alosha Southern,,Jr.,"Wilton, Conn. / Wilton"
,Sydney Tardrew,,Jr.,"Madison, Wis. / West"
,Whitney Teagle,,So.,"Seattle, Wash. / Roosevelt"
,Meta Williams,,Jr.,"Middleton, Wis. / Middleton"
,Sophie Wynde,,Fr.,"Portland, Ore. / Grant"
,Karin Yndestad,,Jr.,"Egan, Minn. / Eastview"
,Emma Zimmerman,,So.,"West Simsbury, Conn. / Simsbury"
