Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"James, Xavier",SO-2,9.32,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"James, Xavier",SO-2,9.44,Grinnell Invitational,"Jan 28, 2023"
,"James, Xavier",SO-2,9.47,Grinnell Invitational,"Jan 28, 2023"
,"James, Xavier",SO-2,9.49,Grinnell Opener,"Dec 9, 2022"
,"James, Xavier",SO-2,9.49,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Mendola, Noah",FR-1,9.64,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"James, Xavier",SO-2,9.64,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"James, Xavier",SO-2,9.68,Hilltop Invitational,"Jan 21, 2023"
,"James, Xavier",SO-2,9.71,Darren Young Classic,"Feb 11, 2023"
,"Mendola, Noah",FR-1,9.78,Darren Young Classic,"Feb 11, 2023"
,"Mendola, Noah",FR-1,9.86,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Mendola, Noah",FR-1,10.21,Grinnell Opener,"Dec 9, 2022"
,"Mendola, Noah",FR-1,10.37,Hilltop Invitational,"Jan 21, 2023"
,"Mendola, Noah",FR-1,10.66,Grinnell Invitational,"Jan 28, 2023"
