Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Cottrell, Allison",FR-1,2:24.64,2018 Kip Janvrin Open,"Apr 26, 2018"
,"Cottrell, Allison",FR-1,2:25.21,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Cottrell, Allison",FR-1,2:25.58,Emory Classic,"Mar 30, 2018"
,"Cottrell, Allison",FR-1,2:28.02,Mustang Open,"Apr 13, 2018"
,"Cottrell, Allison",FR-1,2:30.28,2018 Dick Young Invite,"Apr 21, 2018"
,"LaVerdiere, Tori",SO-2,2:30.58,Cornell Invitational,"Apr 4, 2018"
,"Teagle, Whitney",SR-4,2:36.32,2018 Dick Young Invite,"Apr 21, 2018"
,"Teagle, Whitney",SR-4,2:37.56,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Breunig, Madeleine",SO-2,2:43.80,2018 Dick Young Invite,"Apr 21, 2018"
,"Miller, Lauren",SO-2,2:51.86,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Miller, Lauren",SO-2,2:52.80,Mustang Open,"Apr 13, 2018"
,"Nalamalapu, Vishva",SO-2,2:53.75,2018 Dick Young Invite,"Apr 21, 2018"
,"Miller, Lauren",SO-2,2:55.99,2018 Dick Young Invite,"Apr 21, 2018"
