Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",SO-2,4.75m,"15' 7""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017",0.0
,"Bresnahan, Cara",SO-2,4.74m,"15' 6.75""",Monmouth Fighting Scots Outdoor,"May 6, 2017",1.0
,"Bresnahan, Cara",SO-2,4.68m,"15' 4.25""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Bresnahan, Cara",SO-2,4.54m,"14' 10.75""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Bresnahan, Cara",SO-2,4.50m,"14' 9.25""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Maddaus, Jordan",SO-2,4.48m,"14' 8.5""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017",1.4
,"Bresnahan, Cara",SO-2,4.45m,"14' 7.25""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Bresnahan, Cara",SO-2,4.40m,"14' 5.25""",2017 Dick Young Invitational,"Apr 22, 2017",1.4
,"Maddaus, Jordan",SO-2,4.34m,"14' 3""",2017 Dick Young Invitational,"Apr 22, 2017",0.4
,"Bresnahan, Cara",SO-2,4.33m,"14' 2.5""",2017 Jim Duncan Invitational,"Apr 14, 2017",0.0
,"Bresnahan, Cara",SO-2,4.32m,"14' 2.25""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Bresnahan, Cara",SO-2,4.29m,"14' 1""",Monmouth Fighting Scots Outdoor,"May 6, 2017",0.6
,"Bresnahan, Cara",SO-2,4.28m,"14' 0.5""",2017 Jim Duncan Invitational,"Apr 14, 2017",0.0
,"Bresnahan, Cara",SO-2,4.28m,"14' 0.5""",2017 Dick Young Invitational,"Apr 22, 2017",1.2
,"Maddaus, Jordan",SO-2,4.26m,"13' 11.75""",2017 Dick Young Invitational,"Apr 22, 2017",1.3
,"Maddaus, Jordan",SO-2,4.23m,"13' 10.5""",2017 Dick Young Invitational,"Apr 22, 2017",0.2
,"Bresnahan, Cara",SO-2,4.21m,"13' 9.75""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017",1.0
,"Bresnahan, Cara",SO-2,4.19m,"13' 9""",2017 Jim Duncan Invitational,"Apr 14, 2017",0.0
,"Maddaus, Jordan",SO-2,4.17m,"13' 8.25""",2017 Dick Young Invitational,"Apr 22, 2017",1.0
,"Bresnahan, Cara",SO-2,4.14m,"13' 7""",Monmouth Fighting Scots Outdoor,"May 6, 2017",0.0
,"Bresnahan, Cara",SO-2,4.13m,"13' 6.75""",2017 Dick Young Invitational,"Apr 22, 2017",0.6
,"Maddaus, Jordan",SO-2,4.10m,"13' 5.5""",2017 Dick Young Invitational,"Apr 22, 2017",0.3
,"Bresnahan, Cara",SO-2,4.01m,"13' 2""",2017 Jim Duncan Invitational,"Apr 14, 2017",0.0
,"Bresnahan, Cara",SO-2,3.95m,"12' 11.5""",2017 Dick Young Invitational,"Apr 22, 2017",0.4
,"Bresnahan, Cara",SO-2,3.93m,"12' 10.75""",2017 Dick Young Invitational,"Apr 22, 2017",0.2
,"Maddaus, Jordan",SO-2,3.87m,"12' 8.5""",2017 Cornell Invite,"Apr 8, 2017",1.0
,"Maddaus, Jordan",SO-2,3.82m,"12' 6.5""",2017 Cornell Invite,"Apr 8, 2017",0.0
