Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"McMillan, Autumn",FR-1,1:03.36,2017 Dick Young Invitational,"Apr 22, 2017"
,"Schmiechen, Zoe",JR-3,1:04.90,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Schmiechen, Zoe",JR-3,1:05.01,2017 Cornell Invite,"Apr 8, 2017"
,"Schmiechen, Zoe",JR-3,1:05.53,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Schmiechen, Zoe",JR-3,1:05.59,2017 Dick Young Invitational,"Apr 22, 2017"
,"Alvarez, Valencia",FR-1,1:05.68,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Martin, Yolana",FR-1,1:05.81,2017 Dick Young Invitational,"Apr 22, 2017"
,"Schmiechen, Zoe",JR-3,1:05.85,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Bambi, Simona",FR-1,1:05.96,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Bambi, Simona",FR-1,1:06.12,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Schmiechen, Zoe",JR-3,1:06.43,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Alvarez, Valencia",FR-1,1:06.88,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Maddaus, Jordan",SO-2,1:07.02,Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Bambi, Simona",FR-1,1:07.10,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Alvarez, Valencia",FR-1,1:08.04,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Acker, Lauren",FR-1,1:16.11,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
