0,1,2,3
Grinnell College,324,36,1st
Vidushi Sinha,77,5,t-3rd
Vrishali Sinha,77,5,t-3rd
Lauren Yi,84,12,t-9th
Anisha Agarwalla,86,14,12th
Sam Nakahira,88,16,t-15th
Samanike Hengst,91,19,t-19th
