Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Reid, Sam",SO-2,2:27.39,Dick Young Classic,"Apr 22, 2023"
,"Kaczmarczyk, Crystal",SO-2,2:29.28,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Roark, Hannah",FR-1,2:29.60,D3 Challenge,"Mar 25, 2023"
,"Rabbani, Allison",SO-2,2:31.31,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Elliott-Rude, Eleanor",SO-2,2:31.48,Midwest Conference Outdoor Championships,"May 12, 2023"
,"Schaefer, Emma",SR-4,2:36.11,Dick Young Classic,"Apr 22, 2023"
,"Ong, Caitlin",FR-1,2:36.42,Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Barba, Diana",FR-1,2:36.71,Dick Young Classic,"Apr 22, 2023"
,"Charron, Grace",FR-1,2:37.86,2023 Kip Janvrin Open,"Apr 27, 2023"
,"Mullen, Ginger",SO-2,2:44.13,Dick Young Classic,"Apr 22, 2023"
,"Karow, Morgan",FR-1,2:44.30,Dick Young Classic,"Apr 22, 2023"
