Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fujiwara, Mikayla",SR-4,10:35.55,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Fujiwara, Mikayla",SR-4,10:36.04,Darren Young Classic,"Feb 15, 2020"
,"Breunig, Madeleine",SR-4,10:44.87,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Schaefer, Emma",SO-2,10:45.01,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Fujiwara, Mikayla",SR-4,10:49.19,Hilltop Invitational,"Jan 25, 2020"
,"Schaefer, Emma",SO-2,11:06.77,Darren Young Classic,"Feb 15, 2020"
,"Breunig, Madeleine",SR-4,11:07.63,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Schaefer, Emma",SO-2,11:20.13,Hilltop Invitational,"Jan 25, 2020"
,"Breunig, Madeleine",SR-4,11:41.96,Hilltop Invitational,"Jan 25, 2020"
,"Timmermans, Merel",SO-2,12:24.14,Hilltop Invitational,"Jan 25, 2020"
,"Nalamalapu, Vishva",SR-4,12:26.50,Darren Young Classic,"Feb 15, 2020"
,"Nalamalapu, Vishva",SR-4,12:35.80,Hilltop Invitational,"Jan 25, 2020"
,"Sloniewky, Julia",JR-3,12:38.71,Dutch Athletic Classic 2020,"Jan 18, 2020"
