Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Olowu, Paige",,4.72m,"15' 6""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Olowu, Paige",,4.65m,"15' 3.25""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Bresnahan, Cara",SR-4,4.63m,"15' 2.25""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"McCabe, Madeline",,4.60m,"15' 1.25""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Olowu, Paige",,4.58m,"15' 0.5""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Bresnahan, Cara",SR-4,4.56m,"14' 11.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Olowu, Paige",,4.54m,"14' 10.75""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Olowu, Paige",,4.42m,"14' 6""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"McCabe, Madeline",FR-1,4.42m,"14' 6""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"McCabe, Madeline",FR-1,4.35m,"14' 3.25""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Pellisslier Lloyd, Tallulah",FR-1,4.33m,"14' 2.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Bresnahan, Cara",SR-4,4.32m,"14' 2.25""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.31m,"14' 1.75""",2019 Darren Young Indoor Invitational,"Feb 9, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.27m,"14' 0.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.22m,"13' 10.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Bresnahan, Cara",SR-4,4.21m,"13' 9.75""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Bresnahan, Cara",SR-4,4.20m,"13' 9.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"McCabe, Madeline",FR-1,4.20m,"13' 9.5""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.15m,"13' 7.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.15m,"13' 7.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,4.14m,"13' 7""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Olowu, Paige",,4.14m,"13' 7""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,4.13m,"13' 6.75""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.13m,"13' 6.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Olowu, Paige",,4.13m,"13' 6.75""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Pellisslier Lloyd, Tallulah",FR-1,4.12m,"13' 6.25""",Midwest Conference Indoor Championships,"Feb 22, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.11m,"13' 6""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,4.10m,"13' 5.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,4.08m,"13' 4.75""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,4.05m,"13' 3.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,3.96m,"13' 0""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"Pellisslier Lloyd, Tallulah",,3.95m,"12' 11.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"McCabe, Madeline",,3.94m,"12' 11.25""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,3.88m,"12' 8.75""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"McCabe, Madeline",,3.87m,"12' 8.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,3.86m,"12' 8""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,3.82m,"12' 6.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019",0.0
,"McCabe, Madeline",,3.72m,"12' 2.5""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"McCabe, Madeline",,3.70m,"12' 1.75""",Luther Alumni Meet,"Feb 2, 2019",0.0
,"Bresnahan, Cara",SR-4,3.05m,"10' 0.25""",Wartburg Indoor Invite,"Feb 16, 2019",0.0
