Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kolacia, Nate",FR-1,1:57.63,ACM Invitational,"Feb 2, 2013"
,"Kolacia, Nate",FR-1,1:59.73,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Kolacia, Nate",FR-1,1:59.86,Darren Young Invitational,"Feb 9, 2013"
,"Moorehead, Kyle",SO-2,2:00.36,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Angel, Zach",JR-3,2:00.59,Darren Young Invitational,"Feb 9, 2013"
,"Moorehead, Kyle",SO-2,2:00.85,Darren Young Invitational,"Feb 9, 2013"
,"Moorehead, Kyle",SO-2,2:02.80,Wartburg Invite,"Feb 16, 2013"
,"Angel, Zach",JR-3,2:03.70,Midwest Conference Indoor Championships,"Feb 22, 2013"
,"Mahar, Harry",SO-2,2:08.07,Darren Young Invitational,"Feb 9, 2013"
,"Schake, Conner",JR-3,2:12.81,ACM Invitational,"Feb 2, 2013"
,"Tyree, Isaiah",SO-2,2:14.57,Wartburg Invite,"Feb 16, 2013"
,"Anderson, Doug",SO-2,2:15.91,ACM Invitational,"Feb 2, 2013"
,"Braun, Zev",SO-2,2:19.98,Wartburg Invite,"Feb 16, 2013"
,"Davis-Johnson, Collin",JR-3,2:21.30,Darren Young Invitational,"Feb 9, 2013"
,"Davis-Johnson, Collin",JR-3,2:23.75,ACM Invitational,"Feb 2, 2013"
,"Mundell, Lex",FR-1,2:28.56,ACM Invitational,"Feb 2, 2013"
,"Chien, Jason",FR-1,2:42.00,ACM Invitational,"Feb 2, 2013"
,"Fretheim, Arthur",JR-3,2:47.68,Darren Young Invitational,"Feb 9, 2013"
,"Fretheim, Arthur",JR-3,2:59.74,ACM Invitational,"Feb 2, 2013"
