""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Betsy Apel,,-,Fr.,/
,Regina Birkner,,-,Fr.,/
,Kristen Galles,,-,Fr.,/
,Liane Kimura,,-,Fr.,/
,Ellen Leeney,,-,Fr.,/
,Laura Maly,,-,Fr.,/
,Jerri Matchinsky,,-,Fr.,/
,Terri Porter,,-,Fr.,/
,Elaine Schwartz,,-,Fr.,/
,Yvonne Stroud,,-,Fr.,/
