""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Kylie-Ann Smith,,S,5-6,Fr.,"Honolulu, Hawaii / Punahou"
,2,Amelia Adam,,OH/RS,5-9,Jr.,"San Diego, Calif. / Torrey Pines"
,3,Malaina Miles,,MB,6-2,Sr.,"Franklin, Tenn. / Independence"
,4,Rachel Woock,,OH/RS,5-9,5th,"Carmel, Ind. / Carmel"
,5,Julianna Vajda,,DS,5-9,Sr.,"Boca Raton, Fla. / Spanish River Community"
,6,Avery Richardson,,OH/RS,5-9,5th,"Oklahoma City, Okla. / Heritage Hall Upper School"
,8,Millie Leonard,,OH/RS,5-10,Fr.,"Colorado Springs, Colo. / Coronado"
,9,Emmy Nyquist,,DS,5-5,Sr.,"Highland, Ill. / Highland"
,10,Kylie Snell,,MB,5-11,So.,"Van Nuys, Calif. / Granada Hills"
,11,Hayley Taka,,OH/RS,5-8,So.,"Honolulu, Hawaii / Hawaii Baptist Academy"
,13,Jenna Keller,,OH/RS,6-0,Sr.,"Perry, Kan. / Perry-LeCompton"
,14,Emily Brewer,,S,5-8,Sr.,"Fishers, Ind. / Fishers"
,15,Sophie Weber,,DS,5-9,Jr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,21,Ella O'Neill,,MB,6-2,Jr.,"Chicago, Ill. / Mother McAuley"
,22,Gabby Choy,,S,5-6,So.,"San Diego, Calif. / Torrey Pines"
,23,Keira Sullivan,,OH/RS,5-10,Fr.,"Hebron, Conn. / Kingswood Oxford"
,33,Nicole Mlynski,,OH/RS,6-0,So.,"Highland Park, Ill. / Deerfield"
