""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,4,Sydney McClendon,,RS/DS,5-7,Fr.,"McPherson, Kan. / McPherson"
,5,Kimberly Batrezchavez,,DS,4-11,So.,"North Hollywood, Calif. / Oakwood School"
,6,Diana Ossa Sierra,,DS,5-7,Sr.,"Medillin, Colombia / Columbus"
,8,Cheyenne Hickox,,MH,6-0,So.,"Granby, Colo. / Middle Park"
,9,Rebecca Moreland,,MH/RS,5-10,Jr.,"Pella, Iowa / Pella"
,11,Claire Weidman,,OH/S,5-10,So.,"Flossmoor, Ill. / Homewood-Flossmoor"
,12,Natalie Duncombe,,MH/RS,6-2,So.,"Appleton, Wis. / Appleton North"
,14,Shelby Carroll,,OH,5-11,Sr.,"Pasadena, Calif. / Santa Catalina School"
,15,Emma Knatterud-Johnson,,DS,5-3,So.,"St. Paul, Minn. / Highland Park"
,16,Jennifer Joy,,DS,5-6,Fr.,"Norman, Okla. / Norman North"
,18,Bethine Moore,*,S/DS,5-8,Sr.,"Iowa City, Iowa / City High"
,22,Michelle Briggs,*,MH,6-3,Sr.,"Salinas, Calif. / Santa Catalina School"
,23,Lindsay Fujimoto,,LIB,5-4,So.,"Honolulu, Hawaii / Saint Andrews"
,24,Erica Tharp,,S/OH,5-7,Sr.,"New Boston, Ill. / Westmer"
,Mgr.,Marques Valdez,,,-,,/
