""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Kylie-Ann Smith,,S,5-6,So.,"Honolulu, Hawaii / Punahou"
,2,Amelia Adam,,DS,5-9,Sr.,"San Diego, Calif. / Torrey Pines"
,4,Gracie Lim,,DS,5-6,Fr.,"Tulsa, Okla. / Regent Preparatory School"
,6,Marlowe Hurst,,S,5-7,Fr.,"Bentonville, Ark. / Thaden School"
,8,Millie Leonard,,OH/RH,5-10,So.,"Colorado Springs, Colo. / Coronado"
,10,Kylie Snell,,MB,5-11,Jr.,"Van Nuys, Calif. / Granada Hills"
,11,Hayley Taka,,OH/RS,5-8,Jr.,"Honolulu, Hawaii / Hawaii Baptist Academy"
,13,Jenna Keller,,OH/RS,6-0,Sr.,"Perry, Kan. / Perry-LeCompton"
,14,Emily Brewer,,S,5-8,Sr.,"Fishers, Ind. / Fishers"
,15,Sophie Weber,,DS,5-9,Sr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,21,Ella O'Neill,,MB,6-2,Sr.,"Chicago, Ill. / Mother McAuley"
,22,Gabby Choy,,DS,5-6,Jr.,"San Diego, Calif. / Torrey Pines"
,23,Keira Sullivan,,OH/RS,5-10,So.,"Hebron, Conn. / Kingswood Oxford"
,33,Nicole Mlynski,,OH/RS,6-0,Jr.,"Highland Park, Ill. / Deerfield"
