""
#,FULL NAME,POS,HT.,ACADEMIC YEAR,HOMETOWN / HIGH SCHOOL
,Mona Babauta,,-,Fr.,/
,Stacey Budd,,-,Fr.,/
,May Chao,,-,Fr.,/
,Keri Collison,,-,Fr.,/
,Susan Egbert,,-,Fr.,/
,Heather Elmeer,,-,Fr.,/
,Tami Geiger,,-,Fr.,/
,Jocelyn Keough,,-,Fr.,/
,Tara Neavens,,-,Fr.,/
,Pixie Plummer,,-,Fr.,/
,Amy Robinson,,-,Fr.,/
,Saraliene Smith,,-,Fr.,/
,Shun Thomas,,-,Fr.,/
,Courtney Wells,,-,Fr.,/
