""
IMAGE,NAME,CAPTAIN,YR.,HOMETOWN / HIGH SCHOOL
,Kevin Anderson,,Sr.,"Flossmoor, Ill. / Homewood-Flossmoor"
,Stewart Bass,,Sr.,"Tucson, Ariz. / Gregory School"
,Joel Baumann,,Sr.,"Grinnell, Iowa / Grinnell"
,Chris Brunet,,Jr.,"Dunham, N.H. / Saint Thomas Aquinas"
,Lucas Chamberland,,Fr.,"Grinnell, Iowa / Grinnell"
,Sam Collins,,Jr.,"Roscoe, Ill. / Hononegah"
,Mitsuki Fujio,,Jr.,"Tokyo, Japan / Eiko Gakuen"
,Brad Geiman,,Fr.,"Alexandria, Ky. / Campbell County"
,Andrew George,,Fr.,"St. Paul, Minn. / Mounds Park Academy"
,Tim Gilmour,,Fr.,"Falls Church, Va. / George Mason"
,Keanan Gleason,,Sr.,"Albuquerque, N.M. / Albuquerque"
,Justin Gregor,,So.,"New Prague, Minn. / New Prague"
,Connor Gregorich-Trevor,,Sr.,"Madison, Wis. / James Madison Memorial"
,Erik Henderson,,Jr.,"Chicago, Ill. / Urban Prep Academy"
,Ethan Huelskamp,,So.,"Saint Henry, Ohio / Saint Henry"
,Noah Jacobson,,So.,"Portland, Ore. / Riverdale"
,Phillip Kane,,Sr.,"Wheaton, Ill. / Wheaton Warrenville South"
,Matt Lieberman,,Fr.,"Ann Arbor, Mich. / Pioneer"
,Robert Lorch,,Fr.,"Muncie, Ind. / Yorktown"
,Ian Malone,,Sr.,"Palo Alto, Calif. / Gunn"
,Carter Markegard,,Fr.,"Minneapolis, Minn. / Southwest"
,Nicky Midlash,,Fr.,"Hinsdale, Ill. / Hinsdale Central"
,Alexander Monovich,,Sr.,"Naperville, Ill. / Neuqua Valley"
,Kamal Nadesan,,Jr.,"Scottsdale, Ariz. / Cactus Shadows"
,Declan O'Reilly,,Fr.,"Wilmette, Ill. / New Trier Township"
,Sean O'Reilly,,Jr.,"Wilmette, Ill. / New Trier Township"
,John Osler,,So.,"Minneapolis, Minn. / Edina"
,Matthew Phipps,,So.,"White River Junction, Vt. / Hartford"
,Jonathan Rebelsky,,Fr.,"Grinnell, Iowa / Grinnell"
,Jackson Schulte,,So.,"Grinnell, Iowa / Grinnell"
,Olek Yardas,,So.,Washington D.C. / The Field School
