Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fujiwara, Mikayla",SO-2,4:54.37,2018 Dick Young Invite,"Apr 21, 2018"
,"Cottrell, Allison",FR-1,4:57.04,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Fujiwara, Mikayla",SO-2,4:58.70,Midwest Conference Outdoor Championships,"May 11, 2018"
,"Cottrell, Allison",FR-1,5:00.79,2018 Dick Young Invite,"Apr 21, 2018"
,"Zimmerman, Emma",SR-4,5:01.67,2018 Dick Young Invite,"Apr 21, 2018"
,"Cottrell, Allison",FR-1,5:02.10,Cornell Invitational,"Apr 4, 2018"
,"Breunig, Madeleine",SO-2,5:21.08,2018 Dick Young Invite,"Apr 21, 2018"
,"Nalamalapu, Vishva",SO-2,5:46.80,2018 Dick Young Invite,"Apr 21, 2018"
,"Miller, Lauren",SO-2,5:48.82,2018 Kip Janvrin Open,"Apr 26, 2018"
,"Miller, Lauren",SO-2,5:49.43,2018 Dick Young Invite,"Apr 21, 2018"
,"Howe, Madison",FR-1,5:54.90,Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Miller, Lauren",SO-2,5:59.68,Cornell Invitational,"Apr 4, 2018"
,"Irwin, Kate",SO-2,6:12.82,2018 Dick Young Invite,"Apr 21, 2018"
