Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Bresnahan, Cara",JR-3,4.55m,"14' 11.25""",Midwest Conference Outdoor Championships,"May 11, 2018",1.6
,"Bresnahan, Cara",JR-3,4.54m,"14' 10.75""",2018 Dick Young Invite,"Apr 21, 2018",-1.7
,"Bresnahan, Cara",JR-3,4.46m,"14' 7.75""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,4.44m,"14' 7""",2018 Dick Young Invite,"Apr 21, 2018",-0.2
,"Bresnahan, Cara",JR-3,4.40m,"14' 5.25""",2018 Dick Young Invite,"Apr 21, 2018",-1.9
,"Bresnahan, Cara",JR-3,4.39m,"14' 5""",2018 Kip Janvrin Open,"Apr 26, 2018",1.3
,"Bresnahan, Cara",JR-3,4.37m,"14' 4""",Midwest Conference Outdoor Championships,"May 11, 2018",0.0
,"Bresnahan, Cara",JR-3,4.33m,"14' 2.5""",2018 Dick Young Invite,"Apr 21, 2018",-1.7
,"Bresnahan, Cara",JR-3,4.32m,"14' 2.25""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,4.30m,"14' 1.25""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,4.26m,"13' 11.75""",2018 Dick Young Invite,"Apr 21, 2018",-0.1
,"Bresnahan, Cara",JR-3,4.12m,"13' 6.25""",Cornell Invitational,"Apr 4, 2018",0.0
,"Hanlon , May",FR-1,3.95m,"12' 11.5""",Cornell Invitational,"Apr 4, 2018",0.0
,"Bresnahan, Cara",JR-3,3.89m,"12' 9.25""",2018 Kip Janvrin Open,"Apr 26, 2018",0.0
,"Hanlon , May",FR-1,3.88m,"12' 8.75""",2018 Dick Young Invite,"Apr 21, 2018",-0.3
,"Hanlon , May",FR-1,3.77m,"12' 4.5""",Cornell Invitational,"Apr 4, 2018",0.0
,"Hanlon , May",FR-1,3.75m,"12' 3.75""",2018 Dick Young Invite,"Apr 21, 2018",-0.7
,"Hanlon , May",FR-1,3.68m,"12' 1""",Cornell Invitational,"Apr 4, 2018",0.0
,"Hanlon , May",FR-1,3.68m,"12' 1""",2018 Kip Janvrin Open,"Apr 26, 2018",1.7
,"Hanlon , May",FR-1,3.63m,"11' 11""",2018 Kip Janvrin Open,"Apr 26, 2018",1.9
,"Hanlon , May",FR-1,3.53m,"11' 7""",Cornell Invitational,"Apr 4, 2018",0.0
